동,x,y,addr,src
개포동,127.06859656411,37.4713350212102,서울 강남구 개포동 산 53-1,keyword
논현동,127.024779773951,37.5124049314709,서울 강남구 논현동 55-16,keyword
대치동,127.058171762935,37.4980203713024,서울 강남구 대치동 1026,keyword
도곡동,127.046595188917,37.4818037639471,서울 강남구 도곡동,keyword
삼성동,127.04892851392,37.5091105328378,서울 강남구 삼성동 131,keyword
세곡동,127.100088388245,37.4657686250927,서울 강남구 세곡동,keyword
수서동,127.101261924348,37.4868656608786,서울 강남구 수서동 727,keyword
신사동,127.039152029523,37.5267558230172,서울 강남구 신사동 668-33,keyword
역삼동,127.027843960692,37.5034906075971,서울 강남구 역삼동 616-14,keyword
압구정동,127.039152029523,37.5267558230172,서울 강남구 신사동 668-33,keyword
일원동,127.0790106835936,37.47482803960479,서울 강남구 일원동,keyword
자곡동,127.095804433627,37.4747714671662,서울 강남구 자곡동 산 39-3,keyword
청담동,127.046048046817,37.5261262382238,서울 강남구 청담동 99-21,keyword
강일동,127.17500011261,37.5700571414647,서울 강동구 강일동,keyword
율현동,127.1187803911927,37.471510573460336,서울 강남구 율현동 99-10,keyword
고덕동,127.14683461805,37.5641741928495,서울 강동구 고덕동 산 93-9,keyword
길동,127.15192952372405,37.54206358258416,서울 강동구 길동 31-2,keyword
둔촌동,127.150260083291,37.5294418097539,서울 강동구 둔촌동 산 11-7,keyword
명일동,127.143400802261,37.5519086429947,서울 강동구 명일동 312-4,keyword
상일동,127.174182504688,37.5456017097501,서울 강동구 상일동,keyword
성내동,127.131006444371,37.5356239765187,서울 강동구 성내동,keyword
암사동,127.13208335774334,37.56115706317155,서울 강동구 암사동 138,keyword
천호동,127.11418651384618,37.54449916415587,서울 강동구 천호동 522-10,keyword
미아동,127.030634613669,37.6127772732537,서울 강북구 미아동 860-68,keyword
번동,127.04314314537,37.6207534156773,서울 강북구 번동 93-1,keyword
가양동,126.839835562738,37.5730911256815,서울 강서구 가양동 234,keyword
수유동,127.00845142236685,37.632326065962104,서울 강북구 수유동,keyword
우이동,127.00902108350806,37.65888882945633,서울 강북구 우이동 산 40-1,keyword
내발산동,126.82755816372469,37.54793064116889,서울 강서구 내발산동 748,keyword
등촌동,126.86064975373505,37.538994075602595,서울 강서구 등촌동 산 89-6,keyword
공항동,126.8033995394336,37.55815704278689,서울 강서구 공항동 1373,keyword
마곡동,126.835037244018,37.5693958477101,서울 강서구 마곡동 727-256,keyword
방화동,126.81839393678544,37.57932739770858,서울 강서구 방화동,keyword
염창동,126.868708921121,37.5585738893125,서울 강서구 염창동,keyword
화곡동,126.84384949492835,37.536816963976655,서울 강서구 화곡동 산 162-17,keyword
남현동,126.973401685485,37.4734594015731,서울 관악구 남현동 1071-11,keyword
봉천동,126.96499893427,37.4656995089293,서울 관악구 봉천동 산 4-9,keyword
신림동,126.96389684735281,37.44446951034434,서울 관악구 신림동 산 56-1,keyword
광장동,127.110148582774,37.5549266466639,서울 광진구 광장동 32,keyword
구의동,127.097127398349,37.5543983784883,서울 광진구 구의동 3-16,keyword
자양동,127.0839016807752,37.53075638299484,서울 광진구 자양동 663-21,keyword
군자동,127.074916573775,37.5512673746189,서울 광진구 군자동 98,keyword
화양동,127.070361832869,37.5406780333481,서울 광진구 화양동 6-4,keyword
개봉동,126.858766572928,37.4869796136351,서울 구로구 개봉동,keyword
고척동,126.86810492508899,37.49924950286752,서울 구로구 고척동 63-6,keyword
중곡동,127.096206188343,37.5623270041388,서울 광진구 중곡동 143-146,keyword
가리봉동,126.888755418163,37.4821065687163,서울 구로구 가리봉동 123-37,keyword
구로동,126.880409866672,37.5029260885328,서울 구로구 구로동,keyword
오류동,126.83517832671964,37.48885919620487,서울 구로구 오류동 223-5,keyword
천왕동,126.83946120321126,37.48636569987004,서울 구로구 천왕동 14-78,keyword
독산동,126.886969538839,37.4645018463145,서울 금천구 독산동 668-47,keyword
온수동,126.82146127863659,37.49179366365652,서울 구로구 온수동 57-8,keyword
궁동,126.828100364657,37.5015172514033,서울 구로구 궁동 54-2,keyword
신도림동,126.874219829815,37.5092339002167,서울 구로구 신도림동,keyword
항동,126.82541340864,37.4839833354275,서울 구로구 항동 81-1,keyword
가산동,126.877351017198,37.4757449705906,서울 금천구 가산동 614-71,keyword
시흥동,126.924553693021,37.4513455028406,서울 금천구 시흥동 산 95,keyword
공릉동,127.078706040469,37.620691807133,서울 노원구 공릉동 320-2,keyword
상계동,127.06066041449286,37.678914078918574,서울 노원구 상계동 산 44-113,keyword
월계동,127.04717554956,37.6295752371686,서울 노원구 월계동 산 46-3,keyword
중계동,127.09089614349901,37.64467268767395,서울 노원구 중계동 산 104-45,keyword
하계동,127.06983109117179,37.63150923279862,서울 노원구 하계동 107-2,keyword
도봉동,127.01545859321786,37.69884206393718,서울 도봉구 도봉동 산 31,keyword
방학동,127.0186775926887,37.661988874268154,서울 도봉구 방학동,keyword
