구,년도,전체인구,고령자수
강남구,2007,569176,37115
강남구,2008,565624,38918
강남구,2009,569499,41065
강남구,2010,577070,44229
강남구,2011,573003,47187
강남구,2012,569997,50348
강남구,2013,569152,53461
강남구,2014,583446,57444
강남구,2015,581760,60330
강남구,2016,572140,61931
강남구,2017,561052,65060
강남구,2018,547453,67085
강남구,2019,550209,71025
강남구,2020,544055,75096
강남구,2021,537800,78226
강남구,2022,534103,81715
강남구,2023,550282,86606
강동구,2007,469021,31612
강동구,2008,473973,33739
강동구,2009,489655,36605
강동구,2010,496939,39500
강동구,2011,500516,42256
강동구,2012,492728,44941
강동구,2013,487969,47812
강동구,2014,481332,50253
강동구,2015,463321,51935
강동구,2016,448471,53195
강동구,2017,440359,56161
강동구,2018,431920,58770
강동구,2019,440390,63452
강동구,2020,463998,70019
강동구,2021,466472,74070
강동구,2022,464037,78340
강동구,2023,463318,82984
강북구,2007,348702,34732
강북구,2008,345754,36649
강북구,2009,343912,38749
강북구,2010,350007,41702
강북구,2011,348740,43507
강북구,2012,346493,46222
강북구,2013,341921,48547
강북구,2014,338410,50841
강북구,2015,334426,52598
강북구,2016,330704,54053
강북구,2017,328002,56530
강북구,2018,322915,58196
강북구,2019,317695,60577
강북구,2020,311569,63422
강북구,2021,302563,64333
강북구,2022,297702,66307
강북구,2023,292977,68617
강서구,2007,566495,42075
강서구,2008,583545,45762
강서구,2009,579196,47657
강서구,2010,580506,50349
강서구,2011,575846,52314
강서구,2012,573794,55821
강서구,2013,575236,59530
강서구,2014,591653,64287
강서구,2015,595691,67950
강서구,2016,602104,71062
강서구,2017,608255,76032
강서구,2018,603611,79660
강서구,2019,598273,84077
강서구,2020,585901,88984
강서구,2021,579768,92558
강서구,2022,574638,97128
강서구,2023,568826,102096
관악구,2007,550766,42214
관악구,2008,551873,44843
관악구,2009,547311,47311
관악구,2010,549736,50663
관악구,2011,546350,53022
관악구,2012,540520,56620
관악구,2013,535128,59705
관악구,2014,531960,62577
관악구,2015,529031,64985
관악구,2016,525607,66952
관악구,2017,520929,70046
관악구,2018,520040,72249
관악구,2019,517334,75194
관악구,2020,509803,78875
관악구,2021,499449,79871
관악구,2022,501226,82447
관악구,2023,497883,85418
광진구,2007,386367,27100
광진구,2008,387254,28702
광진구,2009,386513,30288
광진구,2010,388775,32241
광진구,2011,386673,33613
광진구,2012,384269,35759
광진구,2013,381439,37623
광진구,2014,377375,38974
광진구,2015,375180,40368
광진구,2016,372104,41441
