년도,자치구,전체인구,고령자수,학령인구
2007,강남구,569176,37115,117900
2008,강남구,565624,38918,114910
2009,강남구,569499,41065,114283
2010,강남구,577070,44229,113377
2011,강남구,573003,47187,109685
2012,강남구,569997,50348,106993
2013,강남구,569152,53461,104852
2014,강남구,583446,57444,105140
2015,강남구,581760,60330,102488
2016,강남구,572140,61931,99084
2017,강남구,561052,65060,95994
2018,강남구,547453,67085,93461
2019,강남구,550209,71025,93164
2020,강남구,544055,75096,91582
2021,강남구,537800,78226,90527
2022,강남구,534103,81715,88613
2023,강남구,550282,86606,90393
2007,강동구,469021,31612,98390
2008,강동구,473973,33739,95856
2009,강동구,489655,36605,95540
2010,강동구,496939,39500,93125
2011,강동구,500516,42256,90885
2012,강동구,492728,44941,87152
2013,강동구,487969,47812,83512
2014,강동구,481332,50253,79446
2015,강동구,463321,51935,74177
2016,강동구,448471,53195,69396
2017,강동구,440359,56161,65977
2018,강동구,431920,58770,63046
2019,강동구,440390,63452,62215
2020,강동구,463998,70019,64600
2021,강동구,466472,74070,64482
2022,강동구,464037,78340,62834
2023,강동구,463318,82984,61726
2007,강북구,348702,34732,62645
2008,강북구,345754,36649,60776
2009,강북구,343912,38749,59264
2010,강북구,350007,41702,58175
2011,강북구,348740,43507,56459
2012,강북구,346493,46222,54942
2013,강북구,341921,48547,52743
2014,강북구,338410,50841,50184
2015,강북구,334426,52598,47930
2016,강북구,330704,54053,45539
2017,강북구,328002,56530,43454
2018,강북구,322915,58196,41348
2019,강북구,317695,60577,38952
2020,강북구,311569,63422,36543
2021,강북구,302563,64333,34250
2022,강북구,297702,66307,32268
2023,강북구,292977,68617,30668
2007,강서구,566495,42075,111655
2008,강서구,583545,45762,111507
2009,강서구,579196,47657,108559
2010,강서구,580506,50349,105485
2011,강서구,575846,52314,101518
2012,강서구,573794,55821,97929
2013,강서구,575236,59530,94391
2014,강서구,591653,64287,93117
2015,강서구,595691,67950,89692
2016,강서구,602104,71062,87049
2017,강서구,608255,76032,84437
2018,강서구,603611,79660,81492
2019,강서구,598273,84077,78468
2020,강서구,585901,88984,74597
2021,강서구,579768,92558,72226
2022,강서구,574638,97128,69186
2023,강서구,568826,102096,66373
2007,관악구,550766,42214,86138
2008,관악구,551873,44843,83289
2009,관악구,547311,47311,80623
2010,관악구,549736,50663,77938
2011,관악구,546350,53022,75264
2012,관악구,540520,56620,72693
2013,관악구,535128,59705,69798
2014,관악구,531960,62577,66754
2015,관악구,529031,64985,63821
2016,관악구,525607,66952,60917
2017,관악구,520929,70046,58265
2018,관악구,520040,72249,55767
2019,관악구,517334,75194,53111
2020,관악구,509803,78875,49940
2021,관악구,499449,79871,47099
2022,관악구,501226,82447,44921
2023,관악구,497883,85418,42418
2007,광진구,386367,27100,73910
2008,광진구,387254,28702,71941
2009,광진구,386513,30288,69863
2010,광진구,388775,32241,67422
2011,광진구,386673,33613,64905
2012,광진구,384269,35759,62958
2013,광진구,381439,37623,60341
2014,광진구,377375,38974,57346
2015,광진구,375180,40368,54783
2016,광진구,372104,41441,52082
2017,광진구,372298,43953,50079
2018,광진구,371063,45619,48143
2019,광진구,366972,47902,45871
2020,광진구,360109,50560,43720
2021,광진구,352627,51723,41372
2022,광진구,351252,54071,39503
2023,광진구,351180,56819,38034
2007,구로구,445095,33021,76356
2008,구로구,448696,35608,74345
2009,구로구,449613,37465,72590
2010,구로구,452667,39389,70612
2011,구로구,458908,41992,69253
2012,구로구,454478,45252,67355
2013,구로구,452168,48027,65498
2014,구로구,457131,51187,63689
2015,구로구,454604,53719,61416
2016,구로구,449600,55705,59050
2017,구로구,441559,58794,56716
2018,구로구,438486,61801,54453
2019,구로구,439371,65779,53007
2020,구로구,432488,70198,50854
2021,구로구,421163,72611,48803
2022,구로구,418418,75890,46698
2023,구로구,415651,79984,44913
2007,금천구,264323,20353,48585
2008,금천구,265244,21649,46777
2009,금천구,263116,22695,44976
2010,금천구,264544,23995,42806
2011,금천구,264256,25089,40789
2012,금천구,260734,26848,39195
2013,금천구,258254,28310,37205
2014,금천구,258030,29553,35147
2015,금천구,256167,31070,33054
2016,금천구,254654,32279,31310
2017,금천구,253491,34170,29668
2018,금천구,254021,35739,28249
2019,금천구,251820,37660,26592
2020,금천구,247835,39842,24783
2021,금천구,244891,41041,23502
2022,금천구,242818,42928,22040
2023,금천구,241105,45342,20851
2007,노원구,621192,50656,139388
2008,노원구,620808,52938,137516
2009,노원구,615161,54756,134996
2010,노원구,615425,57049,131935
2011,노원구,608062,58642,127783
2012,노원구,600829,61218,123396
2013,노원구,594027,63810,118454
2014,노원구,586056,66480,113355
2015,노원구,578221,68909,108099
2016,노원구,571212,70887,103677
2017,노원구,558075,74243,98129
2018,노원구,548160,77096,93704
2019,노원구,537303,80923,88708
2020,노원구,527032,85489,83898
2021,노원구,514946,88345,79363
2022,노원구,508014,92040,75715
2023,노원구,502925,96422,72393
2007,도봉구,378559,32780,78980
2008,도봉구,376698,34750,76306
2009,도봉구,372398,36245,73482
2010,도봉구,370734,38214,70786
2011,도봉구,367949,39810,68060
2012,도봉구,364454,42267,65064
2013,도봉구,360609,44469,62434
2014,도봉구,355712,46471,58994
2015,도봉구,353241,48590,56036
2016,도봉구,350272,50510,53384
2017,도봉구,346234,53488,50599
2018,도봉구,341649,55964,47992
2019,도봉구,335631,58714,44826
2020,도봉구,327361,62059,42121
2021,도봉구,319373,64160,39714
2022,도봉구,313989,66998,37463
2023,도봉구,309494,70436,35359
2007,동대문구,385825,37066,67217
2008,동대문구,381663,38563,64300
2009,동대문구,374277,39693,61593
2010,동대문구,379343,42669,60098
2011,동대문구,378534,44368,58343
2012,동대문구,375683,46795,56720
2013,동대문구,376445,49097,55157
2014,동대문구,376319,50915,53348
2015,동대문구,373824,52490,51114
2016,동대문구,370312,53460,48673
2017,동대문구,366011,55718,46576
2018,동대문구,364338,57165,44991
2019,동대문구,363023,59350,43335
2020,동대문구,357014,61796,41477
2021,동대문구,352006,62211,40069
2022,동대문구,353601,64468,39347
2023,동대문구,359873,67030,39125
2007,동작구,414839,36829,71220
2008,동작구,410934,38320,69113
2009,동작구,407973,39971,66922
2010,동작구,413814,42539,65825
