yyyymm,value
200701,1096 
200702,1381 
200703,4298 
200704,1685 
200705,2662 
200706,1020 
200707,5147 
200708,6691 
200709,1817 
200710,2516 
200711,3975 
200712,1586 
200801,6424 
200802,385 
200803,739 
200804,3340 
200805,1405 
200806,5512 
200807,7471 
200808,9421 
200809,10031 
200810,4015 
200811,788 
200812,5901 
200901,4995 
200902,1674 
200903,4969 
200904,2710 
200905,1368 
200906,3347 
200907,4245 
200908,2220 
200909,1004 
200910,1198 
200911,1227 
200912,4598 
201001,3597 
201002,2742 
201003,2456 
201004,1258 
201005,3519 
201006,3868 
201007,3457 
201008,4460 
201009,2795 
201010,3339 
201011,486 
201012,2623 
201101,5403 
201102,3708 
201103,1638 
201104,928 
201105,1686 
201106,4116 
201107,2129 
201108,1398 
201109,1366 
201110,5485 
201111,4091 
201112,7334 
201201,2014 
201202,1355 
201203,867 
201204,1870 
201205,1193 
201206,1928 
201207,1916 
201208,1716 
201209,3779 
201210,4215 
201211,1515 
201212,4823 
201301,2238 
201302,2638 
201303,1493 
201304,3261 
201305,814 
201306,1864 
201307,1436 
201308,2291 
201309,3751 
201310,1890 
201311,2303 
201312,8273 
201401,1531 
201402,4419 
201403,4924 
201404,575 
201405,5093 
201406,10468 
201407,1356 
201408,5187 
201409,6514 
201410,2306 
201411,1766 
201412,1719 
201501,2014 
201502,1237 
201503,903 
201504,4327 
201505,866 
201506,3206 
201507,1717 
201508,1140 
201509,5086 
201510,5271 
201511,1812 
201512,2248 
201601,1200 
201602,2724 
201603,1344 
201604,2222 
201605,2379 
201606,1995 
201607,2693 
201608,5026 
201609,2816 
201610,622 
201611,4994 
201612,4565 
201701,2465 
201702,4074 
201703,6442 
201704,3531 
201705,2206 
201706,1870 
201707,2944 
201708,3575 
201709,2191 
201710,1182 
201711,2660 
201712,1657 
201801,2053 
201802,2353 
201803,971 
201804,1871 
201805,1849 
201806,4498 
201807,1830 
201808,2839 
201809,3557 
201810,3326 
201811,4092 
201812,13870 
201901,2656 
201902,8616 
201903,1089 
201904,2050 
201905,1146 
201906,7809 
201907,1356 
201908,4278 
201909,9093 
201910,1601 
201911,4169 
201912,7623 
202001,3866 
202002,8268 
202003,5262 
202004,1986 
202005,5004 
202006,3826 
202007,4379 
202008,5339 
202009,5610 
202010,2688 
202011,2323 
202012,4590 
202101,4581 
202102,4758 
202103,2877 
202104,2348 
202105,1419 
202106,3747 
202107,3329 
202108,3599 
202109,2207 
202110,3153 
202111,2372 
202112,1999 
202201,7496 
202202,2593 
202203,2841 
202204,2398 
202205,1007 
202206,856 
202207,2339 
202208,2374 
202209,1776 
202210,1247 
202211,1902 
202212,3295 
202301,1527 
202302,3388 
202303,3834 
202304,512 
202305,126 
202306,4836 
202307,5905 
202308,4119 
202309,251 
