자치구,년도,학령인구
종로구,2007,31236
중구,2007,21312
용산구,2007,39233
성동구,2007,59001
광진구,2007,73910
동대문구,2007,67217
중랑구,2007,84030
성북구,2007,85793
강북구,2007,62645
도봉구,2007,78980
노원구,2007,139388
은평구,2007,88604
서대문구,2007,63862
마포구,2007,66629
양천구,2007,119605
강서구,2007,111655
구로구,2007,76356
금천구,2007,48585
영등포구,2007,71378
동작구,2007,71220
관악구,2007,86138
서초구,2007,82195
강남구,2007,117900
송파구,2007,131797
강동구,2007,98390
종로구,2008,31500
중구,2008,20960
용산구,2008,38863
성동구,2008,55140
광진구,2008,71941
동대문구,2008,64300
중랑구,2008,81439
성북구,2008,85045
강북구,2008,60776
도봉구,2008,76306
노원구,2008,137516
은평구,2008,87493
서대문구,2008,60379
마포구,2008,64583
양천구,2008,117773
강서구,2008,111507
구로구,2008,74345
금천구,2008,46777
영등포구,2008,69399
동작구,2008,69113
관악구,2008,83289
서초구,2008,81069
강남구,2008,114910
송파구,2008,136867
강동구,2008,95856
종로구,2009,30291
중구,2009,20192
용산구,2009,38078
성동구,2009,53275
광진구,2009,69863
동대문구,2009,61593
중랑구,2009,78659
성북구,2009,84540
강북구,2009,59264
도봉구,2009,73482
노원구,2009,134996
은평구,2009,87261
서대문구,2009,58441
마포구,2009,63747
양천구,2009,116316
강서구,2009,108559
구로구,2009,72590
금천구,2009,44976
영등포구,2009,67515
동작구,2009,66922
관악구,2009,80623
서초구,2009,83896
강남구,2009,114283
송파구,2009,136497
강동구,2009,95540
종로구,2010,29164
중구,2010,19628
용산구,2010,37318
성동구,2010,51562
광진구,2010,67422
동대문구,2010,60098
중랑구,2010,75870
성북구,2010,84496
강북구,2010,58175
도봉구,2010,70786
노원구,2010,131935
은평구,2010,88442
서대문구,2010,55987
마포구,2010,63925
양천구,2010,113428
강서구,2010,105485
구로구,2010,70612
금천구,2010,42806
영등포구,2010,65287
동작구,2010,65825
관악구,2010,77938
서초구,2010,83618
강남구,2010,113377
송파구,2010,133701
강동구,2010,93125
종로구,2011,28146
중구,2011,19135
용산구,2011,37007
성동구,2011,49222
